zone,n,dos_mean,dos_pos_rate,awareness_mean,xt_delta_mean,ddef_3s_mean,diag_share,success_rate,back_line_break_rate
center,1248,0.010471624460602208,0.9230769230769231,0.42964543791300214,-0.000624247782661258,4.6185184959579235,0.4046474358974359,0.6818910256410257,0.007211538461538462
half_space,2654,0.011869627903562299,0.9272795779954786,0.43958076087985026,9.726737494332998e-05,4.462907573165746,0.3590806330067822,0.6706857573474001,0.01092690278824416
wing,3021,0.012155868325740973,0.9059913935782853,0.4404528727307359,-4.086146746658272e-05,4.27116878153835,0.2694472029129427,0.676266137040715,0.010592519033432638
