match,team,jersey,player_name,team_name,owner_jersey,half,frame_start,frame_end,duration_s,x_start,y_start,x_end,y_end,displacement_m,peak_speed,mean_speed,run_dir,attacking_right,dos,ppcf_baseline,ppcf_with_awareness,direction_class,event_direction_rad,awareness_mean,detection_delay_mean
Bayern_Hamburg,0,38,Alexander Rössing-Lelesiit,Hamburger SV,20,1,3330968,3331177,4.18,4.074676036834717,8.93951416015625,27.47822380065918,1.7161999940872192,24.492903369656823,6.26598193454015,5.8760398711524235,-0.2993661152654831,True,0.012148565164836644,0.4573939136545937,0.46954247881943034,forward,-0.33293488617117273,0.08237740348831718,0.13671061781049676
Bayern_Hamburg,1,2,Dayotchanculle Upamecano,FC Bayern München,44,1,3331143,3331303,3.2,31.833656311035156,-3.600609540939331,46.16162109375,12.231790542602539,21.353113759357285,7.946602247614688,6.721018077430466,0.8352380582775609,False,-0.004539059008300428,0.6360049563632195,0.6314658973549191,sideways,0.6813360154548994,0.3508370218493013,0.080134784413176
Bayern_Hamburg,1,44,Josip Stani&amp;#353;i&amp;#263;,FC Bayern München,27,1,3331356,3331553,3.94,34.535587310791016,-28.47657585144043,14.405381202697754,-20.72770881652832,21.570121424763997,5.857997844522925,5.470105977388435,2.7741384251893644,False,1.2725504539012888e-08,0.6230032734307475,0.623003286156252,forward,2.772790144568855,0.020673849812150844,0.14690788353792963
Bayern_Hamburg,1,6,Joshua Kimmich,FC Bayern München,27,1,3331388,3331538,3.0,35.376590728759766,6.575547695159912,21.009462356567383,13.415252685546875,15.912131913058655,5.667177320872014,5.336590223025654,2.6972747088617908,False,-0.0027307682142477807,0.46664946933442153,0.46391870112017375,diagonal,2.3917524562754555,0.062209071841339655,0.10964629656607229
Bayern_Hamburg,0,11,Ransford-Yeboah Königsdörffer,Hamburger SV,38,1,3331728,3331802,1.48,11.743657112121582,12.78831958770752,19.971200942993164,14.160128593444824,8.341123271906188,6.326232333184596,5.702951956936687,0.16521391972005864,True,0.007510145161908177,0.3571425052202529,0.3646526503821611,diagonal,0.44345032185259364,0.2542316359940344,0.10120423879076633
Bayern_Hamburg,1,7,Serge Gnabry,FC Bayern München,6,1,3332249,3332517,5.36,5.002628803253174,15.203924179077148,-27.332284927368164,6.511395454406738,33.482931496449716,6.948138978254702,6.271766388288029,-2.8789735496686086,False,0.00603820478757211,0.5833614486669468,0.589399653454519,forward,-3.0279507665275527,0.38324042789863294,0.09899344833830656
Bayern_Hamburg,1,4,Jonathan Tah,FC Bayern München,6,1,3332338,3332418,1.6,18.029190063476562,-3.6424524784088135,9.913328170776367,-1.4960285425186157,8.394900236092479,5.414800714869492,5.230961087182089,2.883039684272857,False,2.3738858293875786e-05,0.6323236237060286,0.6323473625643224,forward,2.9249167897618955,0.0,0.03641811499827002
Bayern_Hamburg,1,45,Aleksandar Pavlovi&amp;#263;,FC Bayern München,6,1,3332349,3332410,1.22,3.7686047554016113,10.4992094039917,-2.4309093952178955,9.076086044311523,6.360759058524296,5.381290404095819,5.191195847245298,-2.91594788529,False,0.0005662109076698396,0.4805272074543245,0.4810934183619943,forward,-2.9512224493698067,0.016269171595108937,0.049048452547409076
Bayern_Hamburg,0,11,Ransford-Yeboah Königsdörffer,Hamburger SV,38,1,3335888,3336104,4.32,-43.73068618774414,11.74362850189209,-20.706533432006836,5.37502384185791,23.888715650602375,6.409574673265583,5.792399586960681,-0.2698581120332821,True,0.00421616850201556,0.5327043694155056,0.5369205379175211,forward,0.2421571468948313,0.5499507933401621,0.09296169455530184
Bayern_Hamburg,0,24,Nicolas Capaldo Taboas,Hamburger SV,38,1,3335949,3336197,4.96,-38.91278839111328,-0.17217618227005005,-7.038490295410156,-8.189794540405273,32.86720376348513,8.56276108071309,7.376521806825675,-0.246426292347081,True,0.0028431830800387248,0.6197761931071545,0.6226193761871932,diagonal,0.43485879490501766,0.10494800987171891,0.10768179051876513
