origin_zone,direction_class,n,dos_mean,xt_delta_mean,awareness_mean,success_rate
center,diagonal,505,0.011221440628872825,0.00038735894553591327,0.3973523895848359,0.6138613861386139
center,forward,201,0.013863937680063153,0.0018760592584429942,0.3850932282464059,0.44776119402985076
center,sideways,542,0.008514960028704957,-0.002494032123992487,0.47625610866707924,0.8321033210332104
half_space,diagonal,953,0.012058152927043668,0.0015438814771823646,0.41584870979425187,0.6442812172088143
half_space,forward,453,0.01315769097984352,0.0020783282721737752,0.39987644584445226,0.445916114790287
half_space,sideways,1248,0.011258123960506898,-0.0017264856906649966,0.47211497513915335,0.7724358974358975
wing,diagonal,814,0.012592641499477288,0.0021093327444976218,0.42856986187509694,0.6240786240786241
wing,forward,483,0.01030337159326764,0.0016500154198491662,0.41617153144488095,0.4244306418219462
wing,sideways,1724,0.012468642431520122,-0.001529812526116449,0.45286624783372786,0.771461716937355
